"rt","accuracy","exp","colour","n","observer","distractor_no"
0.836587979982141,1,"2c",1,208,1,1
1.00599513098132,1,"2c",0,209,1,0
0.897171012009494,1,"1a",0,210,1,0
0.823852700006682,1,"2b",2,211,1,4
0.831309377012076,1,"2c",2,212,1,1
0.551878270023735,1,"2a",2,213,1,4
0.613475410005776,1,"2c",1,214,1,19
0.760715543990955,1,"2b",1,215,1,9
0.85269540300942,1,"1b",1,216,1,19
0.828218595008366,1,"1b",1,217,1,4
0.668217276019277,1,"2b",2,218,1,31
0.733474626991665,1,"2a",1,219,1,9
0.732071789010661,1,"1a",3,220,1,4
0.587767991994042,1,"2c",0,221,1,0
0.667507965001278,1,"2b",2,222,1,9
0.972025850001955,1,"2b",2,223,1,31
0.775610177021008,1,"2a",3,224,1,19
0.722328539006412,1,"2c",2,225,1,1
0.598986596014583,1,"1a",3,226,1,1
0.867874994990416,1,"2b",2,227,1,9
1.04169465601444,1,"2c",3,228,1,31
0.999873488006415,1,"2b",1,229,1,19
0.853582948999247,1,"2b",1,230,1,9
0.645675028004916,1,"2c",1,231,1,19
0.607631909981137,1,"2a",2,232,1,4
0.903206087008584,1,"2c",1,233,1,4
0.668471557000885,1,"2c",1,234,1,4
0.891759913996793,1,"2c",3,235,1,31
0.701871536002727,1,"1b",3,236,1,9
0.794651456992142,1,"2c",3,237,1,9
0.734584439982427,1,"2a",1,238,1,1
0.731651414011139,1,"2a",3,239,1,31
0.660126375994878,1,"2a",3,240,1,4
0.917718617012724,1,"2a",0,241,1,0
0.900566229014657,1,"2b",3,242,1,31
0.762394504999975,1,"2b",2,243,1,4
0.852050891000545,1,"2c",1,244,1,19
0.724373176984955,1,"2a",3,245,1,9
1.03878954501124,1,"2a",2,246,1,1
1.26482835700153,1,"2b",0,247,1,0
0.868362745997729,1,"1b",1,248,1,19
0.821025063982233,1,"1a",3,249,1,9
0.788931471994147,1,"2c",2,250,1,4
0.656298791989684,1,"2c",2,251,1,4
0.831130739999935,1,"1b",2,252,1,19
0.711766207998153,1,"2b",1,253,1,4
0.610380693018669,1,"1b",0,254,1,0
0.582423653017031,1,"1a",2,255,1,9
0.711606784985634,1,"1a",2,256,1,1
0.816566903988132,1,"2c",3,257,1,19
0.634495853009867,1,"1a",0,258,1,0
0.650527355988743,1,"2b",1,259,1,4
0.798038123000879,1,"1a",1,260,1,1
1.45418710299418,1,"2c",0,261,1,0
0.571974458987825,1,"2c",1,262,1,4
0.623721723008202,1,"1b",0,263,1,0
0.837186657998245,1,"2b",2,264,1,19
0.808822551975027,1,"1a",3,265,1,19
0.685420669993619,1,"1a",3,266,1,1
0.798042763984995,1,"1b",1,267,1,31
0.744829011993716,1,"2a",3,268,1,31
0.661534770013532,1,"2c",2,269,1,4
0.77558252500603,1,"2b",3,270,1,19
0.594552930997452,1,"2b",3,271,1,4
0.549661755998386,1,"2b",0,272,1,0
0.647479055012809,1,"1b",2,273,1,9
0.772198244987521,1,"2c",1,274,1,31
0.658862834010506,1,"2b",3,275,1,4
0.593532647995744,1,"2c",1,276,1,4
0.729982121003559,1,"1b",1,277,1,31
0.988849247980397,1,"2b",2,278,1,1
0.574471511004958,1,"2a",3,279,1,19
1.33017435899819,1,"1a",1,280,1,1
0.745196795993252,1,"1a",3,281,1,31
0.80916898601572,1,"1b",2,282,1,31
0.705078647995833,1,"2b",1,283,1,19
0.871928071981529,1,"2b",1,284,1,31
0.632503101980546,1,"1a",0,285,1,0
0.775327450013719,1,"2c",3,286,1,1
0.667125384992687,1,"2b",2,287,1,19
0.666350573999807,1,"1a",3,288,1,31
0.63917405900429,0,"2b",2,289,1,9
0.822286217007786,1,"1a",2,290,1,1
0.984620086004725,1,"1a",1,291,1,19
1.09769886301365,1,"1b",3,292,1,4
0.865876277995994,1,"1a",3,293,1,9
0.787313815002562,1,"2b",3,294,1,9
0.797168399003567,1,"1a",3,295,1,19
1.0754141920188,1,"1b",2,296,1,19
0.738101579976501,1,"1b",1,297,1,1
1.25679680201574,1,"2c",3,298,1,31
0.692138963000616,1,"2b",0,299,1,0
0.787620169023285,1,"1a",1,300,1,19
0.527335746999597,1,"2c",1,301,1,1
0.77021683298517,1,"2c",3,302,1,31
