ImageFile,targ_side,colour,distNo,correctAnswer,targetType,n,breakMessage.started_mean,breakMessage.started_raw,breakMessage.stopped_raw,buttonBox_12.corr_mean,buttonBox_12.corr_raw,buttonBox_12.corr_std,buttonBox_12.keys_mean,buttonBox_12.keys_raw,buttonBox_12.keys_std,buttonBox_12.rt_mean,buttonBox_12.rt_raw,buttonBox_12.rt_std,buttonBox_12.started_raw,buttonBox_12.stopped_raw,buttonBox_13.keys_raw,buttonBox_13.rt_mean,buttonBox_13.rt_raw,buttonBox_13.rt_std,buttonBox_13.started_raw,buttonBox_13.stopped_raw,buttonBox_2.keys_raw,buttonBox_2.rt_mean,buttonBox_2.rt_raw,buttonBox_2.rt_std,buttonBox_2.started_raw,buttonBox_2.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_raw,buttonBox_9.stopped_raw,dispStimuli.started_raw,dispStimuli.stopped_raw,polygon.started_raw,polygon.stopped_raw,targetTypeInstruction.started_raw,targetTypeInstruction.stopped_raw,order
images/exp2b_trial_40_colour2_distractors19_r.png,r,2,19,3,0,1.0,415.9656071300036,415.9656071300036,,1.0,1.0,0.0,3.0,3.0,0.0,0.5180928111076355,0.5180928111076355,0.0,'415.45093',,,,,,,,,,,,,,2.0,2.0,0.0,0.3886580765247345,0.3886580765247345,0.0,'415.01773',,'415.45093',,'415.01773',,,,74.0
images/exp2c_trial_28_colour3_distractors19_l.png,l,3,19,1,0,1.0,417.6317315209948,417.6317315209948,,1.0,1.0,0.0,1.0,1.0,0.0,1.2012710571289062,1.2012710571289062,0.0,'416.43237',,,,,,,,,,,,,,2.0,2.0,0.0,0.4067244231700897,0.4067244231700897,0.0,'415.98392',,'416.43237',,'415.98392',,,,75.0
images/exp1a_trial_54_colour2_distractors9_l.png,l,2,9,1,0,1.0,418.5824857399915,418.5824857399915,,1.0,1.0,0.0,1.0,1.0,0.0,0.5016144514083862,0.5016144514083862,0.0,'418.0819',,,,,,,,,,,,,,2.0,2.0,0.0,0.39061644673347473,0.39061644673347473,0.0,'417.6512',,'418.0819',,'417.6512',,,,76.0
images/exp1a_trial_319_colour0_distractors0_l.png,l,0,0,1,0,1.0,419.44919701098695,419.44919701098695,,1.0,1.0,0.0,1.0,1.0,0.0,0.43995141983032227,0.43995141983032227,0.0,'419.01712',,,,,,,,,,,,,,2.0,2.0,0.0,0.3709050416946411,0.3709050416946411,0.0,'418.59842',,'419.01712',,'418.59842',,,,77.0
images/exp2b_trial_111_colour1_distractors1_l.png,l,1,1,1,0,1.0,420.84938972298403,420.84938972298403,,1.0,1.0,0.0,1.0,1.0,0.0,1.0046186447143555,1.0046186447143555,0.0,'419.84872',,,,,,,,,,,,,,2.0,2.0,0.0,0.337691068649292,0.337691068649292,0.0,'419.46542',,'419.84872',,'419.46542',,,,78.0
images/exp2a_trial_52_colour2_distractors1_l.png,l,2,1,1,0,1.0,421.8824268349912,421.8824268349912,,1.0,1.0,0.0,1.0,1.0,0.0,0.4562458097934723,0.4562458097934723,0.0,'421.4345',,,,,,,,,,,,,,2.0,2.0,0.0,0.5208085179328918,0.5208085179328918,0.0,'420.86542',,'421.4345',,'420.86542',,,,79.0
images/exp2a_trial_148_colour2_distractors1_l.png,l,2,1,1,0,1.0,422.88244992599937,422.88244992599937,,1.0,1.0,0.0,1.0,1.0,0.0,0.5399121642112732,0.5399121642112732,0.0,'422.35037',,,,,,,,,,,,,,2.0,2.0,0.0,0.40458944439888,0.40458944439888,0.0,'421.8986',,'422.35037',,'421.8986',,,,80.0
images/exp2b_trial_150_colour2_distractors9_l.png,l,2,9,1,0,1.0,423.8160661649948,423.8160661649948,,1.0,1.0,0.0,1.0,1.0,0.0,0.5227823257446289,0.5227823257446289,0.0,'423.30136',,,,,,,,,,,,,,2.0,2.0,0.0,0.3539414703845978,0.3539414703845978,0.0,'422.901',,'423.30136',,'422.901',,,,81.0
images/exp2c_trial_91_colour3_distractors9_l.png,l,3,9,1,0,1.0,425.4658905399905,425.4658905399905,,1.0,1.0,0.0,1.0,1.0,0.0,1.2049286365509033,1.2049286365509033,0.0,'424.26773',,,,,,,,,,,,,,2.0,2.0,0.0,0.38949137926101685,0.38949137926101685,0.0,'423.8342',,'424.26773',,'423.8342',,,,82.0
images/exp2b_trial_77_colour3_distractors19_r.png,r,3,19,3,0,1.0,426.4492018779914,426.4492018779914,,1.0,1.0,0.0,3.0,3.0,0.0,0.5538086295127869,0.5538086295127869,0.0,'425.89853',,,,,,,,,,,,,,2.0,2.0,0.0,0.36926504969596863,0.36926504969596863,0.0,'425.48178',,'425.89853',,'425.48178',,,,83.0
images/exp2b_trial_97_colour1_distractors4_r.png,r,1,4,3,0,1.0,427.44939392697995,427.44939392697995,,1.0,1.0,0.0,3.0,3.0,0.0,0.6227666139602661,0.6227666139602661,0.0,'426.83246',,,,,,,,,,,,,,2.0,2.0,0.0,0.32107195258140564,0.32107195258140564,0.0,'426.4677',,'426.83246',,'426.4677',,,,84.0
images/exp1a_trial_282_colour3_distractors4_l.png,l,3,4,1,0,1.0,428.44938924498854,428.44938924498854,,1.0,1.0,0.0,1.0,1.0,0.0,0.6052414774894714,0.6052414774894714,0.0,'427.8513',,,,,,,,,,,,,,2.0,2.0,0.0,0.3375881016254425,0.3375881016254425,0.0,'427.46786',,'427.8513',,'427.46786',,,,85.0
images/exp1a_trial_309_colour2_distractors4_l.png,l,2,4,1,0,1.0,429.4491675979865,429.4491675979865,,1.0,1.0,0.0,1.0,1.0,0.0,0.555350124835968,0.555350124835968,0.0,'428.90085',,,,,,,,,,,,,,2.0,2.0,0.0,0.38764721155166626,0.38764721155166626,0.0,'428.46555',,'428.90085',,'428.46555',,,,86.0
images/exp2c_trial_96_colour1_distractors1_r.png,r,1,1,3,0,1.0,430.4160581829841,430.4160581829841,,1.0,1.0,0.0,3.0,3.0,0.0,0.5555339455604553,0.5555339455604553,0.0,'429.86533',,,,,,,,,,,,,,2.0,2.0,0.0,0.3553348779678345,0.3553348779678345,0.0,'429.46542',,'429.86533',,'429.46542',,,,87.0
images/exp2b_trial_46_colour3_distractors31_r.png,r,3,31,3,0,1.0,431.36610648598287,431.36610648598287,,0.0,0.0,0.0,1.0,1.0,0.0,0.5532644987106323,0.5532644987106323,0.0,'430.81805',,,,,,,,,,,,,,2.0,2.0,0.0,0.3379173278808594,0.3379173278808594,0.0,'430.43423',,'430.81805',,'430.43423',,,,88.0
images/exp2a_trial_122_colour3_distractors4_l.png,l,3,4,1,0,1.0,432.649513341987,432.649513341987,,1.0,1.0,0.0,1.0,1.0,0.0,0.5063813328742981,0.5063813328742981,0.0,'432.1496',,,,,,,,,,,,,,2.0,2.0,0.0,0.720860481262207,0.720860481262207,0.0,'431.38242',,'432.1496',,'431.38242',,,,89.0
images/exp2c_trial_281_colour3_distractors1_l.png,l,3,1,1,0,1.0,433.9994032929884,433.9994032929884,,1.0,1.0,0.0,1.0,1.0,0.0,0.9563809037208557,0.9563809037208557,0.0,'433.0494',,,,,,,,,,,,,,2.0,2.0,0.0,0.33770421147346497,0.33770421147346497,0.0,'432.66586',,'433.0494',,'432.66586',,,,90.0
